text,true_label,predicted_label,response,correct
"in order to access and use our services , you agree to these terms of service , which incorporate by reference the crowdtangle privacy policy .",1,1,Yes,True
"5.5 as part of this continuing innovation , you acknowledge and agree that youtube may stop -lrb- permanently or temporarily -rrb- providing the service -lrb- or any features within the service -rrb- to you or to users generally at youtube 's sole discretion , without prior notice to you .",1,1,Yes,True
"if you are the parent or legal guardian of a child under the age of 13 -lrb- the `` parent '' -rrb- , you are agreeing to these terms on behalf of yourself and your child -lrb- ren -rrb- who are authorized to use the services pursuant to these terms and in our privacy policy .",0,0,No,True
parental control functionalities offered by nintendo may not work with third-party services .,0,0,No,True
"you are responsible for providing all equipment required to access the internet or enable communications such as headsets , microphones and webcams .",0,0,No,True
all documents and information disclosed in the course of the arbitration shall be kept strictly confidential by the recipient and shall not be used by the recipient for any purpose other than for purposes of the arbitration or the enforcement of arbitrator 's decision and award and shall not be disclosed except in confidence to persons who have a need to know for such purposes or as required by applicable law .,0,0,No,True
you agree that oculus and its affiliates shall be able to use the feedback in any way it may choose without any obligation to you .,0,0,No,True
"in such event , supercell shall not be required to provide refunds , benefits or other compensation to users in connection with such discontinued service .",1,0,No,False
vimeo reserves the right to modify the vimeo service .,1,0,No,False
the arbitrator 's decision will include the essential findings and conclusions upon which the arbitrator based the award .,0,0,No,True
"the company will abide by the terms and conditions of the social networks and platforms in which you and any relevant contact are registered with a profile , with respect to retrieving accessible information from such networks or platforms -lrb- for synchronization or for other purposes -rrb- , and will follow any configuration , security , privacy or other applicable restrictions of such platforms .",0,0,No,True
"we do not represent or endorse the accuracy or reliability of any introduction , advice , opinion , statement or other information displayed , uploaded or distributed through the service by betterpoints.uk or any user of the service or any other service .",0,0,No,True
"disputes : any action arising out of or relating to this agreement or your use of the vimeo service must be commenced in the state or federal courts located in new york county , new york , united states of america -lrb- and you consent to the jurisdiction of those courts -rrb- .",1,1,Yes,True
"in particular , to the extent permitted by applicable law , we are not liable for any claims arising out of -lrb- a -rrb- your use of the services -lrb- including but not limited to your participation in any activities promoted by or accessed via the services -rrb- , -lrb- b -rrb- the use , disclosure , display , or maintenance of an athlete 's personal data and/or location data , -lrb- c -rrb- any other interactions with us or any other athletes using the services , even if we have been advised of the possibility of such damages , or -lrb- d -rrb- other content , information , services or goods received through or advertised on the services or received through any links provided with the services .",1,1,Yes,True
"if you have any questions or concerns regarding these terms , please contact us online at privacy@msqrd.me , or by mail at :",0,1,Yes,False
you can change your store or system settings if you prefer not to receive automatic updates to store applications .,0,0,No,True
"your access and use of the services constitutes your agreement to be bound by these terms , which establishes a contractual relationship between you and uber .",1,0,No,False
"if you download or use our software , such as a stand-alone software product , an app , or a browser plugin , you agree that from time to time , the software may download and install upgrades , updates and additional features from us in order to improve , enhance , and further develop the software .",0,0,No,True
"you will update the information about yourself promptly , and as necessary , to keep it current and accurate .",0,0,No,True
"no derogatory references to sex , gender , age , weight , body type , disability , ethnicity , religion , or sexual orientation , or endorsement of violence against any person or group , even if couched in humor , will be permitted .",0,0,No,True
we may change the fees in effect but will give you advance notice of these changes via a message to the email address associated with your account .,1,0,No,False
"7.8 on becoming aware of any potential violation of these terms , youtube reserves the right -lrb- but shall have no obligation -rrb- to decide whether content complies with the content requirements set out in these terms and may remove such content and/or terminate a user 's access for uploading content which is in violation of these terms at any time , without prior notice and at its sole discretion .",1,1,Yes,True
"by registering for and/or using the service in any manner , including but not limited to visiting or browsing the site , you agree to all of the terms and conditions contained herein -lrb- `` terms of use '' -rrb- , and all other operating rules , policies and procedures that may be published from time to time on the site by vivino , each of which is incorporated by reference and each of which may be updated by vivino from time to time without notice to you in accordance with the terms set out under the `` modification of terms of use '' section below .",1,1,Yes,True
what 's yours is yours -- you own your content -lrb- and your photos and videos are part of the content -rrb- .,0,0,No,True
"by using this site , you acknowledge that 9gag , inc is not responsible or liable for any harm resulting from -lrb- 1 -rrb- use of the site ; -lrb- 2 -rrb- downloading information contained on the site including but not limited to downloads of content posted by subscribers ; -lrb- 3 -rrb- unauthorized disclosure of images , information or data that results from the upload , download or storage of content posted by subscribers ; -lrb- 4 -rrb- the temporary or permanent inability to access or retrieve any subscriber content from the site , including , without limitation , harm caused by viruses , worms , trojan horses , or any similar contamination or destructive program .",1,0,No,False
"your written communication may be subject to review , modification , and/or deletion by blizzard entertainment without notice to you .",1,1,Yes,True
6.4 in no event shall the licensor 's total liability to the licensee for all damages exceed the amount of fifty euros -lrb- $ 50.00 -rrb- .,1,0,No,False
"in some cases , we will notify you in advance , and your continued use of the service after the changes have been made will constitute your acceptance of the changes .",1,0,No,False
"if you ever wish to seek any relief from us , you agree to do it only through arbitration , and you waive the ability to pursue class action .",1,0,No,False
"if linden lab elects to generally suspend or discontinue the service , in whole or in part , for any reason , linden lab may terminate your accounts .",1,1,Yes,True
"linkedin reserves the right to limit your use of the services , including the number of your connections and your ability to contact other members .",1,0,No,False
you will not use the services for any purpose that is illegal or prohibited in these terms .,0,0,No,True
"at our discretion , a refund may be issued without requiring a return .",0,0,No,True
